algorithm,dataset,data_size,min_time,max_time,std_time,memory_usage,time_or_estimate
Quick Sort,partial_30_1000.txt,1000,0.0,0.0010004043579101562,0.0004899597915347083,0.0,0.0006000757217407227
Quick Sort,partial_70_1000.txt,1000,0.0,0.001001119613647461,0.0003000661836399219,0.0,0.0009001970291137695
Quick Sort,sorted_asc_10000.txt,10000,0.009001016616821289,0.00926971435546875,8.028547320645603e-05,0.0,0.009028863906860352
Quick Sort,sorted_desc_10000.txt,10000,0.009001731872558594,0.010002851486206055,0.0003997569292622447,0.0,0.009802556037902832
Quick Sort,random_10000.txt,10000,0.012001991271972656,0.013002872467041016,0.00045790194680530395,0.0,0.012303423881530762
Quick Sort,partial_30_10000.txt,10000,0.011001825332641602,0.012003421783447266,0.0003002328744102134,0.0,0.011902523040771485
Quick Sort,partial_70_10000.txt,10000,0.01000213623046875,0.011002779006958008,0.0005001545475190464,0.0,0.010502386093139648
Quick Sort,sorted_asc_100000.txt,100000,0.1090245246887207,0.11317944526672363,0.0013708908289514605,0.0,0.11146728992462158
Quick Sort,sorted_desc_100000.txt,100000,0.11303281784057617,0.11704802513122559,0.0011969626248896448,0.0,0.1145251750946045
Quick Sort,random_100000.txt,100000,0.1490330696105957,0.1600351333618164,0.0037937071438354933,0.0,0.15361833572387695
Quick Sort,partial_30_100000.txt,100000,0.13503217697143555,0.13908028602600098,0.0010585650454453396,0.0,0.13685257434844972
Quick Sort,partial_70_100000.txt,100000,0.12223196029663086,0.12503480911254883,0.0009992309585971672,0.0,0.12366740703582764
Quick Sort,sorted_asc_1000000.txt,1000000,1.195277214050293,1.2069380283355713,0.004116465638061022,0.0,1.2004552602767944
Quick Sort,sorted_desc_1000000.txt,1000000,1.2823972702026367,1.3272981643676758,0.011644406730226998,0.0,1.2973827123641968
Quick Sort,random_1000000.txt,1000000,2.025460958480835,2.1096832752227783,0.032350904146115064,0.0,2.057699370384216
Quick Sort,partial_30_1000000.txt,1000000,1.7480440139770508,1.8064210414886475,0.016936982823264835,0.0,1.7751471996307373
Quick Sort,partial_70_1000000.txt,1000000,1.416492223739624,1.4563262462615967,0.011896777140878884,0.0,1.4348055601119996
Heap Sort,sorted_asc_1000.txt,1000,0.002000093460083008,0.003000497817993164,0.00039986388253219845,0.0,0.0022005319595336916
Heap Sort,sorted_desc_1000.txt,1000,0.001001119613647461,0.0025107860565185547,0.0003514402431719087,0.0,0.001951456069946289
Heap Sort,random_1000.txt,1000,0.0019969940185546875,0.0030014514923095703,0.00040012896281806776,0.0,0.0022009611129760742
Heap Sort,partial_30_1000.txt,1000,0.001999378204345703,0.003000974655151367,0.0004001502546158135,0.0,0.0022004365921020506
Heap Sort,partial_70_1000.txt,1000,0.002000093460083008,0.003000974655151367,0.00039988790561964305,0.0,0.002200603485107422
Heap Sort,sorted_asc_10000.txt,10000,0.03200674057006836,0.03300762176513672,0.00039988774925639204,0.0,0.03220725059509277
Heap Sort,sorted_desc_10000.txt,10000,0.027005910873413086,0.028008222579956055,0.0003001697864476484,0.0,0.027906417846679688
Heap Sort,random_10000.txt,10000,0.029006004333496094,0.030006885528564453,0.0003995936810044317,0.0,0.029207611083984376
Heap Sort,partial_30_10000.txt,10000,0.029006242752075195,0.031006813049316406,0.0005592830066878126,0.0,0.030169034004211427
Heap Sort,partial_70_10000.txt,10000,0.03099989891052246,0.032012224197387695,0.0004594440890570186,0.0,0.031307005882263185
Heap Sort,sorted_asc_100000.txt,100000,0.3960883617401123,0.409099817276001,0.004473089430881929,0.0,0.40181121826171873
Heap Sort,sorted_desc_100000.txt,100000,0.35860753059387207,0.3720841407775879,0.004274902952968423,0.0,0.3633622884750366
Heap Sort,random_100000.txt,100000,0.3830857276916504,0.4001929759979248,0.005371346168522258,0.0,0.3931201219558716
Heap Sort,partial_30_100000.txt,100000,0.39600324630737305,0.4190990924835205,0.0073816517658288235,0.0,0.40288169384002687
Heap Sort,partial_70_100000.txt,100000,0.3921034336090088,0.41009092330932617,0.006499603009108237,0.0,0.40056376457214354
Heap Sort,sorted_asc_1000000.txt,1000000,4.885468244552612,4.963166236877441,0.020047345294767493,0.0,4.926714372634888
Heap Sort,sorted_desc_1000000.txt,1000000,4.506316661834717,4.589025974273682,0.02261240226775801,0.0,4.549851679801941
Heap Sort,random_1000000.txt,1000000,5.50879430770874,5.885375261306763,0.1399594848674149,0.0,5.673120760917664
Heap Sort,partial_30_1000000.txt,1000000,5.376025676727295,5.744261264801025,0.10890533651209025,0.0,5.495866489410401
Heap Sort,partial_70_1000000.txt,1000000,4.989139795303345,5.172104835510254,0.04888496724375368,0.0,5.041934609413147
