algorithm,dataset,data_size,min_time,max_time,std_time,memory_usage,time_or_estimate
Intro Sort,partial_30_10000.txt,10000,0.010831356048583984,0.012681007385253906,0.0004860240809571631,0.0,0.012186813354492187
Intro Sort,partial_70_10000.txt,10000,0.008637428283691406,0.009846210479736328,0.00043969590805761937,0.0,0.009315776824951171
Intro Sort,sorted_asc_100000.txt,100000,0.08049678802490234,0.09007692337036133,0.002478995404403877,0.765625,0.08329315185546875
Intro Sort,sorted_desc_100000.txt,100000,0.08966517448425293,0.13122868537902832,0.01274100171526209,0.765625,0.11218180656433105
Intro Sort,random_100000.txt,100000,0.1570899486541748,0.1925342082977295,0.009574289872296153,0.765625,0.17154927253723146
Intro Sort,partial_30_100000.txt,100000,0.13464093208312988,0.1999666690826416,0.022329498217314028,0.765625,0.15551819801330566
Intro Sort,partial_70_100000.txt,100000,0.09824681282043457,0.10918045043945312,0.003642351063676559,0.765625,0.10379219055175781
Intro Sort,sorted_asc_1000000.txt,1000000,0.8085017204284668,0.9213283061981201,0.03671222494570156,0.00390625,0.8510294675827026
Intro Sort,sorted_desc_1000000.txt,1000000,0.8670332431793213,1.0433101654052734,0.05734305787538856,0.00390625,0.9247909784317017
Intro Sort,random_1000000.txt,1000000,1.922898530960083,2.0799059867858887,0.052134095661529746,0.00390625,2.017682957649231
Intro Sort,partial_30_1000000.txt,1000000,1.6832032203674316,1.8231353759765625,0.047784639043957335,0.00390625,1.7490774869918824
Intro Sort,partial_70_1000000.txt,1000000,1.1937882900238037,1.333106517791748,0.04956731206086875,0.00390625,1.2626002073287963
Library Sort,sorted_asc_1000.txt,1000,0.12881183624267578,0.18152713775634766,0.014796599065918988,0.0,0.14514026641845704
Library Sort,sorted_desc_1000.txt,1000,0.14085721969604492,0.19955205917358398,0.0187086428249051,0.0,0.15347492694854736
Library Sort,random_1000.txt,1000,0.13466501235961914,0.18759703636169434,0.018220890791615433,0.0,0.1510838508605957
Library Sort,partial_30_1000.txt,1000,0.1300511360168457,0.18241429328918457,0.01475301586091038,0.0,0.14044520854949952
Library Sort,partial_70_1000.txt,1000,0.12756967544555664,0.18134427070617676,0.017185245451779893,0.0,0.14153411388397216
Library Sort,sorted_asc_10000.txt,10000,13.226201057434082,13.481086015701294,0.06959721029707681,0.0,13.388350081443786
Library Sort,sorted_desc_10000.txt,10000,15.185270547866821,16.95426845550537,0.661467757970117,0.0,15.683311176300048
Library Sort,random_10000.txt,10000,14.330125570297241,14.81821060180664,0.15648780182063876,0.00390625,14.536043977737426
Library Sort,partial_30_10000.txt,10000,13.854149103164673,16.956230401992798,0.9441999974007225,0.0,14.627870583534241
Library Sort,partial_70_10000.txt,10000,13.09252119064331,14.195201396942139,0.3081385265374427,0.0,13.322524762153625
Library Sort,sorted_asc_100000.txt,100000,-1.0,-1.0,0.0,-1.0,Estimated time: 2.78 minutes
Library Sort,sorted_desc_100000.txt,100000,-1.0,-1.0,0.0,-1.0,Estimated time: 2.78 minutes
Library Sort,random_100000.txt,100000,-1.0,-1.0,0.0,-1.0,Estimated time: 2.78 minutes
Library Sort,partial_30_100000.txt,100000,-1.0,-1.0,0.0,-1.0,Estimated time: 2.78 minutes
Library Sort,partial_70_100000.txt,100000,-1.0,-1.0,0.0,-1.0,Estimated time: 2.78 minutes
Library Sort,sorted_asc_1000000.txt,1000000,-1.0,-1.0,0.0,-1.0,Estimated time: 33.31 minutes
Library Sort,sorted_desc_1000000.txt,1000000,-1.0,-1.0,0.0,-1.0,Estimated time: 33.31 minutes
Library Sort,random_1000000.txt,1000000,-1.0,-1.0,0.0,-1.0,Estimated time: 33.31 minutes
Library Sort,partial_30_1000000.txt,1000000,-1.0,-1.0,0.0,-1.0,Estimated time: 33.31 minutes
Library Sort,partial_70_1000000.txt,1000000,-1.0,-1.0,0.0,-1.0,Estimated time: 33.31 minutes
Tim Sort,sorted_asc_1000.txt,1000,9.72747802734375e-05,0.00011587142944335938,5.594257116723047e-06,0.0,0.00010080337524414063
Tim Sort,sorted_desc_1000.txt,1000,0.0021626949310302734,0.004408121109008789,0.0006622043484213804,0.0,0.002469468116760254
Tim Sort,random_1000.txt,1000,0.001478433609008789,0.0018355846405029297,0.0001045330374894244,0.0,0.0015225887298583984
Tim Sort,partial_30_1000.txt,1000,0.0014185905456542969,0.00153350830078125,2.813476623801132e-05,0.0,0.0014976978302001954
Tim Sort,partial_70_1000.txt,1000,0.0006289482116699219,0.0011415481567382812,0.00014111516958572869,0.0,0.0007320404052734375
Tim Sort,sorted_asc_10000.txt,10000,0.0009098052978515625,0.0013794898986816406,0.0001364887311232646,0.0,0.0009720087051391602
Tim Sort,sorted_desc_10000.txt,10000,0.021593809127807617,0.023911237716674805,0.0007282590100536755,0.0,0.022276997566223145
Tim Sort,random_10000.txt,10000,0.017569541931152344,0.027554035186767578,0.003603327616547005,0.0,0.021187996864318846
Tim Sort,partial_30_10000.txt,10000,0.018497467041015625,0.02059483528137207,0.0007034759525337093,0.0,0.019448471069335938
Tim Sort,partial_70_10000.txt,10000,0.008504867553710938,0.009412050247192383,0.00031776076889614553,0.0,0.008846330642700195
Tim Sort,sorted_asc_100000.txt,100000,0.008569002151489258,0.01136159896850586,0.0007282808175823285,0.0,0.009281063079833984
Tim Sort,sorted_desc_100000.txt,100000,0.28598999977111816,0.37735891342163086,0.026758035415389052,0.0,0.2973276376724243
Tim Sort,random_100000.txt,100000,0.24482321739196777,0.2578418254852295,0.004400591259599442,0.0,0.2521517276763916
Tim Sort,partial_30_100000.txt,100000,0.1839618682861328,0.20937323570251465,0.006739568756926553,0.0,0.19124171733856202
Tim Sort,partial_70_100000.txt,100000,0.10120248794555664,0.13831639289855957,0.012028282306559834,1.265625,0.1104543685913086
Tim Sort,sorted_asc_1000000.txt,1000000,0.09561896324157715,0.09931039810180664,0.0012364468094297981,0.00390625,0.09718437194824218
Tim Sort,sorted_desc_1000000.txt,1000000,3.7730770111083984,3.869868278503418,0.02789337003515761,0.00390625,3.818797969818115
Tim Sort,random_1000000.txt,1000000,3.603208303451538,3.7984697818756104,0.05520152167633623,0.0,3.673189091682434
Tim Sort,partial_30_1000000.txt,1000000,2.643449068069458,2.9977223873138428,0.09630321444599722,0.0,2.748926544189453
Tim Sort,partial_70_1000000.txt,1000000,1.366755723953247,1.5506439208984375,0.05077977218879542,0.0,1.4375874757766725
Tournament Sort,sorted_asc_1000.txt,1000,0.0021507740020751953,0.003614664077758789,0.00040975658841218725,0.0,0.0025057315826416014
